               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079535,            0.030587,            0.029835,            0.002193,             0.11111,           0.0032088,          0.00032088,            0.060322,            0.025448,             0.02762,              0.0973,              0.0003,              0.0003
                   1,            0.075743,            0.031686,            0.031128,            0.002331,             0.11111,           0.0027321,          0.00027321,            0.058943,            0.025182,            0.027552,            0.093631,           0.0006307,           0.0006307
                   2,            0.063922,            0.032242,            0.026522,           0.0022523,             0.11111,           0.0031745,           0.0006349,            0.056833,            0.024841,            0.027351,            0.089882,           0.0008822,           0.0008822
                   3,            0.064001,            0.028249,            0.027114,           0.0019493,             0.11111,           0.0016616,          0.00049849,            0.053865,            0.024386,             0.02721,            0.086055,           0.0010545,           0.0010545
                   4,            0.086938,             0.02967,            0.033088,                   0,                   0,                   0,                   0,             0.05318,            0.023997,            0.027129,            0.082148,           0.0011476,           0.0011476
                   5,            0.073273,            0.031307,            0.031284,                   0,                   0,                   0,                   0,            0.052689,            0.023646,            0.026928,            0.078162,           0.0011615,           0.0011615
                   6,            0.063746,             0.03109,            0.026267,                   0,                   0,                   0,                   0,             0.05266,            0.023282,            0.026678,            0.074096,           0.0010962,           0.0010962
                   7,            0.062841,            0.030016,            0.026446,                   0,                   0,                   0,                   0,            0.052368,            0.022989,            0.026433,            0.069952,           0.0009517,           0.0009517
                   8,            0.079369,             0.02913,            0.033872,           0.0019608,             0.16667,           0.0015443,          0.00015443,            0.051939,            0.022685,            0.026181,            0.065728,            0.000728,            0.000728
                   9,            0.072996,            0.031821,             0.02967,           0.0019608,             0.16667,           0.0015443,          0.00015443,            0.051939,            0.022685,            0.026181,            0.061425,           0.0004251,           0.0004251
