               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094703,            0.039297,            0.035494,                   0,                   0,                   0,                   0,                   0,             0.02208,                   0,              0.0982,              0.0002,              0.0002
                   1,            0.096694,             0.03737,            0.036015,                   0,                   0,                   0,                   0,                   0,            0.021105,                   0,            0.095498,          0.00049835,          0.00049835
                   2,              0.1033,            0.040339,            0.041117,                   0,                   0,                   0,                   0,                   0,            0.019939,                   0,            0.092795,          0.00079472,          0.00079472
                   3,             0.10052,            0.043335,            0.039468,                   0,                   0,                   0,                   0,                   0,            0.018541,                   0,            0.090089,           0.0010891,           0.0010891
                   4,            0.079217,            0.041181,            0.037862,                   0,                   0,                   0,                   0,                   0,            0.017272,                   0,            0.087382,           0.0013815,           0.0013815
                   5,            0.076286,            0.037274,            0.033135,                   0,                   0,                   0,                   0,                   0,            0.016268,                   0,            0.084672,            0.001672,            0.001672
                   6,            0.073829,            0.045388,            0.030622,                   0,                   0,                   0,                   0,                   0,            0.015096,                   0,             0.08196,           0.0019604,           0.0019604
                   7,            0.078107,            0.042029,            0.032899,                   0,                   0,                   0,                   0,                   0,            0.014278,                   0,            0.079247,           0.0022469,           0.0022469
                   8,            0.071685,             0.04918,            0.030839,                   0,                   0,                   0,                   0,                   0,            0.012943,                   0,            0.076531,           0.0025314,           0.0025314
                   9,            0.072053,            0.050463,            0.032073,                   0,                   0,                   0,                   0,                   0,            0.012067,                   0,            0.073814,           0.0028139,           0.0028139
                  10,            0.063496,            0.042209,            0.029764,                   0,                   0,                   0,                   0,                   0,            0.010871,                   0,            0.071094,           0.0030944,           0.0030944
                  11,            0.066335,            0.048307,            0.033366,                   0,                   0,                   0,                   0,                   0,            0.010207,                   0,            0.068373,           0.0033729,           0.0033729
                  12,            0.073333,            0.053892,            0.031904,                   0,                   0,                   0,                   0,                   0,            0.009476,                   0,             0.06565,           0.0036495,           0.0036495
                  13,            0.055007,            0.037638,            0.023737,                   0,                   0,                   0,                   0,                   0,           0.0093225,                   0,            0.062924,           0.0039241,           0.0039241
                  14,            0.064297,            0.038443,            0.028542,                   0,                   0,                   0,                   0,                   0,           0.0097912,                   0,            0.060197,           0.0041967,           0.0041967
                  15,            0.053794,            0.041354,            0.027474,                   0,                   0,                   0,                   0,                   0,            0.010494,                   0,            0.057467,           0.0044673,           0.0044673
                  16,            0.058981,            0.035984,            0.030373,                   0,                   0,                   0,                   0,                   0,             0.01157,                   0,            0.054736,            0.004736,            0.004736
                  17,            0.055603,            0.034588,            0.024611,                   0,                   0,                   0,                   0,                   0,            0.010809,                   0,            0.052003,           0.0050027,           0.0050027
                  18,            0.061739,            0.034491,            0.022694,                   0,                   0,                   0,                   0,                   0,            0.010535,                   0,            0.049267,           0.0052674,           0.0052674
                  19,            0.054604,             0.02916,            0.031848,                   0,                   0,                   0,                   0,                   0,           0.0090009,                   0,             0.04653,           0.0055301,           0.0055301
                  20,            0.056595,            0.029121,            0.030843,                   0,                   0,                   0,                   0,                   0,           0.0082486,                   0,            0.043791,           0.0057908,           0.0057908
                  21,            0.060497,            0.031157,             0.03445,                   0,                   0,                   0,                   0,                   0,            0.007218,                   0,             0.04105,           0.0060495,           0.0060495
                  22,            0.060072,             0.03514,            0.029578,                   0,                   0,                   0,                   0,                   0,           0.0074227,                   0,            0.038306,           0.0063063,           0.0063063
                  23,            0.061182,            0.026207,            0.028579,                   0,                   0,                   0,                   0,                   0,           0.0065213,                   0,            0.035561,           0.0065611,           0.0065611
                  24,            0.052914,            0.026712,             0.02141,                   0,                   0,                   0,                   0,                   0,            0.006291,                   0,            0.032814,           0.0068139,           0.0068139
